APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
29-03-2023,,,,,,
DONDAICHA,----,QUINTAL,9,2300,2450,2450
PACHORA,----,QUINTAL,45,2800,2950,2831
MALEGAON,8203,QUINTAL,32,1900,2775,2500
NANDGAON,8203,QUINTAL,15,2250,2901,2450
AURANGABAD,HIRVI,QUINTAL,5,2500,2500,2500
CHALISGAON,HIRVI,QUINTAL,42,2000,2700,2500
DHULE,HYBRID,QUINTAL,13,2080,2850,2500
SHEVGAON-BODHEGAON,HYBRID,QUINTAL,6,2400,2500,2500
KALYAN,HYBRID,QUINTAL,3,3500,4000,3750
SANGALI,LOCAL,QUINTAL,75,2400,3000,2700
AMALNER,LOCAL,QUINTAL,1200,2200,2500,2500
PUNE,MAHICO,QUINTAL,415,3000,3400,3200
