APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
DHARASHIV,----,QUINTAL,5,2000,4000,3000
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,43,2000,2500,2250
SHRIRAMPUR,----,QUINTAL,17,2000,3000,2550
SATARA,----,QUINTAL,10,3000,3500,3250
NASHIK,HYBRID,QUINTAL,280,5000,6625,5875
KALYAN,HYBRID,QUINTAL,3,4000,5000,4500
KARAD,HYBRID,QUINTAL,30,2500,3000,3000
SOLAPUR,LOCAL,QUINTAL,31,1000,2200,2000
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,18,1600,2000,1800
PUNE,LOCAL,QUINTAL,310,2000,4000,3000
JUNNAR (NARAYANGAON),LOCAL,QUINTAL,6,500,2000,1500
NAGPUR,LOCAL,QUINTAL,180,2500,3000,2875
MUMBAI,LOCAL,QUINTAL,936,2000,4400,3200
VADGAON PETH,LOCAL,QUINTAL,51,2000,3000,2500
RAHATA,LOCAL,QUINTAL,4,1000,2000,1500
KAMTHI,LOCAL,QUINTAL,1,2500,3500,3000
RAMTEK,No. 1,QUINTAL,2,4000,5000,4500
