APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
DHARASHIV,----,QUINTAL,7,1800,4000,2900
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,70,1000,1700,1350
SHRIRAMPUR,----,QUINTAL,6,1000,1500,1250
SATARA,----,QUINTAL,24,1500,2000,1750
RAHATA,----,QUINTAL,3,2000,2000,2000
AMARAWATI-FRUIT AND VEGETABLES,HYBRID,QUINTAL,78,1600,2000,1800
RAMTEK,HYBRID,QUINTAL,4,2000,2400,2200
AKLUJ,LOCAL,QUINTAL,9,2500,3500,3000
SOLAPUR,LOCAL,QUINTAL,15,500,1800,1000
JALGAON,LOCAL,QUINTAL,10,1700,1700,1700
PUNE,LOCAL,QUINTAL,523,800,1500,1150
JUNNAR (NARAYANGAON),LOCAL,QUINTAL,15,300,1200,700
NAGPUR,LOCAL,QUINTAL,300,1200,1400,1350
MUMBAI,LOCAL,QUINTAL,1993,1400,2000,1700
KAMTHI,LOCAL,QUINTAL,1,1500,2500,2000
