APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
JUNNAR (NARAYANGAON),----,QUINTAL,12,1000,4000,3000
NAGPUR,----,QUINTAL,90,2000,2500,2350
RAHATA,----,QUINTAL,1,2500,2500,2500
HINGNA,----,QUINTAL,3,2500,3500,3500
KALMESHWAR,HYBRID,QUINTAL,19,1010,1500,1330
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,18,1800,2000,1900
JALGAON,LOCAL,QUINTAL,11,3000,4000,3500
PUNE,LOCAL,QUINTAL,8,2000,3000,2500
MUMBAI,LOCAL,QUINTAL,154,2800,4400,3600
BHUSAVAL,LOCAL,QUINTAL,5,2000,2000,2000
RAMTEK,LOCAL,QUINTAL,7,2000,2400,2200
KAMTHI,LOCAL,QUINTAL,3,2000,3000,2500
