APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,26,2500,5000,4000
DHARASHIV,----,NAG,3851,200,600,400
CHHATRAPATI SAMBHAJINAGAR,----,NAG,3400,70,200,135
PATAN,----,NAG,12000,7,9,8
SHRIRAMPUR,----,NAG,4400,2,4,3
MANGALWEDHA,----,NAG,3320,3,13,8
RAHATA,----,NAG,800,2,25,13
KALMESHWAR,HYBRID,QUINTAL,20,1525,2000,1805
RAMTEK,HYBRID,QUINTAL,7,2000,2400,2200
SOLAPUR,LOCAL,NAG,7879,400,700,400
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,69,1000,1200,1100
JALGAON,LOCAL,QUINTAL,11,800,1200,1000
PUNE,LOCAL,NAG,100160,3,8,5
PUNE-PIMPRI,LOCAL,NAG,2450,5,8,7
JUNNAR (NARAYANGAON),LOCAL,NAG,154100,101,1801,1301
NAGPUR,LOCAL,QUINTAL,300,1000,1500,1325
MUMBAI,LOCAL,QUINTAL,732,700,1600,1150
CHANDVAD,LOCAL,NAG,470,5,16,10
VADGAON PETH,LOCAL,QUINTAL,3100,3,6,5
BHUSAVAL,LOCAL,QUINTAL,25,2000,2000,2000
KAMTHI,LOCAL,QUINTAL,7,1000,2000,1500
