APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
MANWAT,----,QUINTAL,3025,7600,7980,7880
KINWAT,----,QUINTAL,44,7400,7500,7450
RALEGAON,----,QUINTAL,3200,7400,7900,7800
BHADRAWATI,----,QUINTAL,154,7500,7500,7500
VADVANI,----,QUINTAL,98,7300,7550,7500
ASHTI (Wardha),AKH-4 - LONG STAPLE,QUINTAL,185,7000,7800,7700
ARVI,H-4 - MEDIUM STAPLE,QUINTAL,1240,7400,7900,7600
PARSHIWANI,H-4 - MEDIUM STAPLE,QUINTAL,1600,7300,7600,7500
UMARED,LOCAL,QUINTAL,666,7550,7860,7700
DEULGAON RAJA,LOCAL,QUINTAL,1500,7400,7755,7640
VARORA,LOCAL,QUINTAL,948,6625,7850,7300
VARORA-MADHELI,LOCAL,QUINTAL,1300,7000,7850,7500
VARORA - KHAMBADA,LOCAL,QUINTAL,242,6200,7850,7500
KATOL,LOCAL,QUINTAL,98,7300,7650,7550
KORPANA,LOCAL,QUINTAL,3796,7200,7540,7350
HINGANGHAT,MEDIUM STAPLE,QUINTAL,4510,7200,8090,7515
WARDHA,MEDIUM STAPLE,QUINTAL,825,7310,7900,7600
YAWAL,MEDIUM STAPLE,QUINTAL,38,7320,7830,7540
