APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
Dharashiv,----,QUINTAL,4,1000,1000,1000
JUNNAR (NARAYANGAON),----,QUINTAL,434,500,2250,1500
AURANGABAD,----,QUINTAL,54,600,1300,950
SHRIRAMPUR,----,QUINTAL,31,1200,1600,1400
SATARA,----,QUINTAL,20,1500,2000,1750
MANGALWEDHA,----,QUINTAL,23,300,2700,1900
RAHATA,----,QUINTAL,7,1000,1500,1200
HINGNA,----,QUINTAL,1,800,800,800
NASHIK,HYBRID,QUINTAL,936,1000,2000,1500
KALYAN,HYBRID,QUINTAL,3,1600,2000,1800
KALMESHWAR,HYBRID,QUINTAL,18,815,1200,1025
SOLAPUR,LOCAL,QUINTAL,20,400,2000,1000
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,10,1400,1600,1500
JALGAON,LOCAL,QUINTAL,30,500,800,600
PUNE,LOCAL,QUINTAL,566,800,2000,1400
PUNE-KHADKI,LOCAL,QUINTAL,3,1300,1600,1400
PUNE-PIMPRI,LOCAL,QUINTAL,6,1300,1700,1500
NAGPUR,LOCAL,QUINTAL,300,800,1000,950
CHANDVAD,LOCAL,QUINTAL,15,1750,3150,2275
VADGAON PETH,LOCAL,QUINTAL,57,1000,2000,1500
KARAD,LOCAL,QUINTAL,36,1500,2000,2000
BHUSAVAL,LOCAL,QUINTAL,18,1000,1000,1000
KAMTHI,LOCAL,QUINTAL,3,1000,2000,1500
PANVEL,No. 1,QUINTAL,110,2000,3000,2500
MUMBAI,No. 1,QUINTAL,1108,2000,2600,2300
