APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,80,500,1000,750
DHARASHIV,----,QUINTAL,18,1000,1800,1400
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,112,1300,1500,1400
RAHURI,----,QUINTAL,8,1000,3000,2000
SHRIRAMPUR,----,QUINTAL,23,300,500,400
SATARA,----,QUINTAL,230,2000,2500,2250
RAHATA,----,QUINTAL,8,1500,2500,2000
NASHIK,HYBRID,QUINTAL,374,570,3035,2140
KALYAN,HYBRID,QUINTAL,3,1400,1700,1600
KALMESHWAR,HYBRID,QUINTAL,50,310,600,520
SOLAPUR,LOCAL,NAG,1200,400,860,640
JALGAON,LOCAL,QUINTAL,24,1500,2000,1800
PUNE,LOCAL,QUINTAL,589,1000,1500,1250
PUNE-KHADKI,LOCAL,QUINTAL,9,600,800,700
PUNE-PIMPRI,LOCAL,QUINTAL,6,1400,1600,1500
JUNNAR (NARAYANGAON),LOCAL,QUINTAL,174,500,1810,1200
NAGPUR,LOCAL,QUINTAL,250,500,700,650
MUMBAI,LOCAL,QUINTAL,1493,1000,1600,1300
VADGAON PETH,LOCAL,QUINTAL,36,2000,3000,2500
KARAD,LOCAL,QUINTAL,33,1000,1500,1500
BHUSAVAL,LOCAL,QUINTAL,10,1000,1000,1000
VAI,LOCAL,QUINTAL,15,1500,1800,1650
RAMTEK,LOCAL,QUINTAL,20,600,800,700
KAMTHI,LOCAL,QUINTAL,8,600,1000,800
