APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
LASALGAON-NIPHAD,----,QUINTAL,4,6976,6976,6976
SHAHADA,----,QUINTAL,44,4580,7533,7332
PUNE,----,QUINTAL,36,5500,5800,5650
DONDAICHA,----,QUINTAL,1337,4000,7461,7351
RAHURI-VAMBORI,----,QUINTAL,7,4700,4752,4726
PAITHAN,----,QUINTAL,4,4726,4726,4726
CHALISGAON,----,QUINTAL,120,3500,4402,4250
UDGIR,----,QUINTAL,1513,4900,4983,4941
BHOKAR,----,QUINTAL,54,3500,4712,4106
SHRIGONDA,----,QUINTAL,32,5230,5350,5300
KARMALA,----,QUINTAL,65,4451,4651,4500
RAJURA,----,QUINTAL,171,4635,4800,4735
ASHTI (Wardha),----,QUINTAL,755,4550,4780,4700
MALEGAON (Washim),----,QUINTAL,220,3700,4300,4100
RAHATA,----,QUINTAL,28,4600,4702,4650
JALGAON-MASAWAT,CHAFA,QUINTAL,10,4550,4550,4550
DHAMANGAON-RLY,CHAFA,QUINTAL,1500,4500,4850,4700
AMALNER,CHAFA,QUINTAL,3000,4600,4630,4630
PACHORA,CHAFA,QUINTAL,150,4565,4735,4621
MALKAPUR,CHAFA,QUINTAL,45,4300,4625,4575
SOLAPUR,GARDA,QUINTAL,7,4665,4845,4750
DHULE,HYBRID,QUINTAL,243,4000,9100,4200
PIMPALGAON (B)-PALKHED,HYBRID,QUINTAL,13,5301,6040,6000
KALYAN,HYBRID,QUINTAL,3,5500,6200,5850
PANDHARKAWADA,HYBRID,QUINTAL,140,4550,4765,4700
JALNA,KABULI,QUINTAL,94,5100,9700,7325
AKOLA,KABULI,QUINTAL,5,5655,5655,5655
JALGAON,KABULI,QUINTAL,9,6100,11200,11200
AURANGABAD,KABULI,QUINTAL,11,4600,4750,4675
MALEGAON,KATYA,QUINTAL,38,2300,6251,4651
TULJAPUR,KATYA,QUINTAL,60,4750,4750,4750
JALGAON,LAL,QUINTAL,360,4550,5550,5550
HINGOLI-KANEGAON NAKA,LAL,QUINTAL,207,4650,4750,4700
SHEVGAON-BODHEGAON,LAL,QUINTAL,5,4600,4600,4600
KEJ,LAL,QUINTAL,77,4581,4700,4680
CHAKUR,LAL,QUINTAL,138,4539,4802,4729
AURAD SHAHAJANI,LAL,QUINTAL,122,4840,4910,4875
KINWAT,LAL,QUINTAL,240,5335,5335,5335
MUKHED,LAL,QUINTAL,33,4580,4850,4625
MURUM,LAL,QUINTAL,52,4501,5141,4821
UMARKHED-DANKI,LAL,QUINTAL,420,4200,4400,4300
LAKHANDUR,LAL,QUINTAL,6,4400,4500,4450
CHIMUR,LAL,QUINTAL,50,4600,4700,4650
ASHTI-KARANJA,LAL,QUINTAL,257,4000,4700,4425
POMBHURNI,LAL,QUINTAL,5,5200,5400,5300
JALNA,LOCAL,QUINTAL,2516,4600,4830,4775
AKOLA,LOCAL,QUINTAL,4335,4200,5040,4700
LASALGAON,LOCAL,QUINTAL,67,3500,7599,5111
LASALGAON-NIPHAD,LOCAL,QUINTAL,1,4651,4651,4651
DEGLUR,LOCAL,QUINTAL,101,4501,4803,4652
NAGPUR,LOCAL,QUINTAL,4713,4500,4825,4744
HINGANGHAT,LOCAL,QUINTAL,8224,3900,4900,4410
MUMBAI,LOCAL,QUINTAL,1118,5000,6000,5500
WARDHA,LOCAL,QUINTAL,323,4425,4900,4700
VANI,LOCAL,QUINTAL,310,4605,4795,4700
PARTUR,LOCAL,QUINTAL,56,4780,4815,4800
DEULGAON RAJA,LOCAL,QUINTAL,61,4500,4700,4600
VARORA,LOCAL,QUINTAL,535,4600,4800,4700
KARJAT (A- Nagar),LOCAL,QUINTAL,91,4500,4700,4600
PATHARDI,LOCAL,QUINTAL,14,4000,4500,4200
TALODA,LOCAL,QUINTAL,24,7326,7425,7405
YAWAL,LOCAL,QUINTAL,820,4450,4870,4710
NANDGAON,LOCAL,QUINTAL,12,4170,7800,4501
AHMEDPUR,LOCAL,QUINTAL,450,4200,4850,4525
MANGRULPEER,LOCAL,QUINTAL,819,5330,5330,5330
MANGRULPEER- SHELUBAZAR,LOCAL,QUINTAL,211,5330,5330,5330
KATOL,LOCAL,QUINTAL,359,4200,4721,4550
SINDI (SELU),LOCAL,QUINTAL,4735,4250,4800,4700
DUDHANI,LOCAL,QUINTAL,253,4120,4885,4500
DEVANI,LOCAL,QUINTAL,86,4840,4999,4919
