APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,169,2000,7000,4500
MUMBAI-FRUIT MARKET,----,QUINTAL,1242,4000,5500,4750
RAHATA,----,QUINTAL,1,2000,2000,2000
SOLAPUR,LOCAL,QUINTAL,2630,40,120,80
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,27,1500,4000,2700
DHARASHIV,LOCAL,QUINTAL,14,1100,2200,1650
PUNE,LOCAL,QUINTAL,618,2000,12000,7000
NASHIK,NASHIK,QUINTAL,32,2000,4000,3000
AMARAWATI-FRUIT AND VEGETABLES,NASHIK,QUINTAL,108,2500,5000,3750
JALGAON,NASHIK,QUINTAL,11,5000,10000,7000
