APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,125,1000,3800,2400
AMARAWATI-FRUIT AND VEGETABLES,----,QUINTAL,60,3500,4000,3750
JALGAON,----,QUINTAL,31,2500,3500,3000
JUNNAR (NARAYANGAON),----,QUINTAL,48,1000,6200,4000
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,118,2200,5500,3850
PATAN,----,QUINTAL,3,3500,4000,3750
SHRIRAMPUR,----,QUINTAL,28,3000,5000,4000
BHUSAVAL,----,QUINTAL,5,5000,5000,5000
SATARA,----,QUINTAL,28,3000,4000,3500
MANGALWEDHA,----,QUINTAL,17,2000,3500,2900
RAHATA,----,QUINTAL,9,4500,5000,4700
HINGNA,----,QUINTAL,1,4000,4000,4000
KALYAN,HYBRID,QUINTAL,3,6000,9000,7500
KALMESHWAR,HYBRID,QUINTAL,16,2530,3000,2810
SOLAPUR,LOCAL,QUINTAL,19,2000,4000,3000
JALGAON,LOCAL,QUINTAL,23,2000,2500,2200
DHARASHIV,LOCAL,QUINTAL,28,1800,3500,2650
PUNE,LOCAL,QUINTAL,494,2000,4000,3000
PUNE-KHADKI,LOCAL,QUINTAL,1,3500,3500,3500
PUNE-PIMPRI,LOCAL,QUINTAL,2,5000,5000,5000
NAGPUR,LOCAL,QUINTAL,300,1500,2500,2250
MUMBAI,LOCAL,QUINTAL,2458,4000,5000,4500
VADGAON PETH,LOCAL,QUINTAL,54,2500,3500,3000
KARAD,LOCAL,QUINTAL,36,2500,3000,3000
RAMTEK,LOCAL,QUINTAL,5,4000,5000,4500
KAMTHI,LOCAL,QUINTAL,7,2500,3500,3000
VAI,No. 2,QUINTAL,10,3500,5000,4250
