APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
AKLUJ,----,QUINTAL,12,3000,4000,3500
AMARAWATI-FRUIT AND VEGETABLES,----,QUINTAL,9,4000,4200,4100
JUNNAR (NARAYANGAON),----,QUINTAL,32,1000,5000,3000
AURANGABAD,----,QUINTAL,26,3000,4800,3900
RAHURI,----,QUINTAL,10,1100,5500,3300
PATAN,----,QUINTAL,4,3000,3500,3250
SHRIRAMPUR,----,QUINTAL,10,2500,3500,3000
SATARA,----,QUINTAL,8,4000,5000,4500
MANGALWEDHA,----,QUINTAL,5,1200,4300,3300
RAHATA,----,QUINTAL,6,3500,4000,3700
NASHIK,HYBRID,QUINTAL,40,2500,4165,3330
KALYAN,HYBRID,QUINTAL,3,4000,4500,4250
MURBAD,HYBRID,QUINTAL,39,2000,3000,2500
KALMESHWAR,HYBRID,QUINTAL,16,2035,2500,2315
SOLAPUR,LOCAL,QUINTAL,6,1000,5000,3500
JALGAON,LOCAL,QUINTAL,5,4000,4000,4000
PUNE,LOCAL,QUINTAL,152,1400,6000,2800
PUNE-PIMPRI,LOCAL,QUINTAL,1,4000,5000,4500
NAGPUR,LOCAL,QUINTAL,50,3500,4000,3875
CHANDVAD,LOCAL,QUINTAL,3,4900,6500,5300
KARAD,LOCAL,QUINTAL,15,3500,4000,4000
BHUSAVAL,LOCAL,QUINTAL,5,4000,4000,4000
RAMTEK,LOCAL,QUINTAL,10,2400,2800,2600
KAMTHI,LOCAL,QUINTAL,3,3500,4500,4000
PANVEL,No. 1,QUINTAL,35,4500,5000,4750
MUMBAI,No. 1,QUINTAL,1198,4000,5000,4500
