APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,68,3500,10000,6500
JALGAON,----,QUINTAL,6,5000,8000,6500
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,23,6000,9000,7500
SHRIRAMPUR,----,QUINTAL,12,6000,8000,7000
RAHATA,----,QUINTAL,4,5000,7000,6000
NASHIK,HYBRID,QUINTAL,28,4500,7500,6000
KALYAN,HYBRID,QUINTAL,3,7000,13000,10000
AKLUJ,KAGDI,NAG,6300,2,3,2
DHARASHIV,KAGDI,QUINTAL,5,4000,12000,8000
SOLAPUR,LOCAL,QUINTAL,13,3000,9000,4000
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,9,8000,10000,9000
PUNE,LOCAL,QUINTAL,158,1000,6000,3500
MUMBAI,LOCAL,QUINTAL,842,6000,10000,8000
BHUSAVAL,LOCAL,QUINTAL,11,8000,8000,8000
