APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
LASALGAON,----,QUINTAL,495,2180,2265,2190
LASALGAON-NIPHAD,----,QUINTAL,92,1901,2276,2220
NAGPUR,----,QUINTAL,30,1800,2000,1950
SINNER-WADANGLI,----,QUINTAL,60,1800,2200,2050
PACHORA,----,QUINTAL,1150,1620,1990,1751
BHOKAR,----,QUINTAL,2,1500,1800,1650
SHRIGONDA,----,QUINTAL,13,2100,2100,2100
KARMALA,----,QUINTAL,47,1900,2265,2251
PIMPALGAON (B)-PALKHED,HYBRID,QUINTAL,193,1960,2251,2165
JALNA,LAL,QUINTAL,403,1825,2175,2075
JALGAON-MASAWAT,LAL,QUINTAL,12,2030,2030,2030
PUNE,LAL,QUINTAL,3,2500,2600,2550
AMALNER,LAL,QUINTAL,2700,1750,2117,2117
MOHOL,LAL,QUINTAL,17,2200,2300,2200
MUMBAI,LOCAL,QUINTAL,604,2600,3600,3200
DHULE,PIVLI,QUINTAL,516,1760,2140,1886
DONDAICHA,PIVLI,QUINTAL,960,1741,2200,2125
MALEGAON,PIVLI,QUINTAL,1300,1841,2268,2170
CHALISGAON,PIVLI,QUINTAL,3400,1750,2160,1900
SILLOD,PIVLI,QUINTAL,70,1950,2050,2050
MALKAPUR,PIVLI,QUINTAL,56,1840,2075,1990
DEULGAON RAJA,PIVLI,QUINTAL,40,1500,1500,1500
KARJAT (A- Nagar),PIVLI,QUINTAL,122,2000,2250,2125
YAWAL,PIVLI,QUINTAL,380,1670,1910,1770
