APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
DHARASHIV,----,NAG,550,200,600,400
CHHATRAPATI SAMBHAJINAGAR,----,NAG,4900,500,700,600
SHRIRAMPUR,----,NAG,4050,5,8,6
RAHATA,----,NAG,550,4,8,6
HINGNA,----,QUINTAL,2,3000,3000,3000
KALYAN,HYBRID,NAG,3,10,20,15
KALMESHWAR,HYBRID,QUINTAL,18,2040,2500,2320
SOLAPUR,LOCAL,NAG,2232,300,700,500
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,18,5000,6000,5500
JALGAON,LOCAL,QUINTAL,4,2000,2000,2000
PUNE,LOCAL,NAG,28938,4,10,7
PUNE-KHADKI,LOCAL,NAG,1253,8,10,9
JUNNAR (NARAYANGAON),LOCAL,NAG,54200,401,1901,1501
MUMBAI,LOCAL,QUINTAL,234,800,1600,1200
CHANDVAD,LOCAL,NAG,110,6,6,6
BHUSAVAL,LOCAL,QUINTAL,6,4000,4000,4000
KAMTHI,LOCAL,QUINTAL,2,2500,3500,3000
RAMTEK,No. 1,QUINTAL,4,1000,1400,1200
