APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
AMARAWATI-FRUIT AND VEGETABLES,----,QUINTAL,39,6000,8000,7000
MUMBAI-FRUIT MARKET,----,QUINTAL,337,7000,15000,11000
RAHATA,----,QUINTAL,20,500,13000,3000
PANDHARPUR,Bhagwa,QUINTAL,52,1000,12000,6000
SANGAMNER,Bhagwa,QUINTAL,7,1000,9255,5127
SANGOLA,Bhagwa,QUINTAL,144,5000,10500,7500
ATPADI,Bhagwa,QUINTAL,500,1000,12100,6600
SOLAPUR,LOCAL,QUINTAL,384,1000,18000,5000
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,18,5500,16000,10750
NASHIK,Mrudula,QUINTAL,222,500,11000,8000
