APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
NASHIK,----,QUINTAL,2215,800,1200,1050
JALGAON,----,QUINTAL,350,700,1200,1000
DHARASHIV,----,QUINTAL,70,400,1250,800
JUNNAR (NARAYANGAON),----,QUINTAL,28,300,1100,800
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,616,600,1000,800
RAHURI,----,QUINTAL,64,500,1300,900
MUMBAI-ONION AND POTATO MKT,----,QUINTAL,8521,800,1400,1100
SHRIRAMPUR,----,QUINTAL,253,800,1200,1000
BHUSAVAL,----,QUINTAL,118,1500,1500,1500
SATARA,----,QUINTAL,25,800,1400,1100
RAHATA,----,QUINTAL,174,400,1100,700
SOLAPUR,LOCAL,QUINTAL,1333,500,1100,700
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,1376,700,1400,1050
PUNE,LOCAL,QUINTAL,3495,800,1400,1100
PUNE-KHADKI,LOCAL,QUINTAL,21,800,1200,1000
JUNNAR-OTUR,LOCAL,QUINTAL,93,500,1300,900
NAGPUR,LOCAL,QUINTAL,3850,600,1000,900
KAMTHI,LOCAL,QUINTAL,2,1200,1600,1400
KALYAN,No. 1,QUINTAL,3,900,1200,1050
AKLUJ,TALEGAON,QUINTAL,80,800,1300,1000
