APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
AKLUJ,----,QUINTAL,11,1500,2700,2300
DHARASHIV,----,QUINTAL,8,1600,3000,2300
JUNNAR (NARAYANGAON),----,QUINTAL,3,1000,3000,2000
CHHTRAPATI SAMBHAJINAGAR,----,QUINTAL,39,1000,2200,1600
SHRIRAMPUR,----,QUINTAL,8,2000,3000,2550
BHUSAVAL,----,QUINTAL,1,2500,2500,2500
SATARA,----,QUINTAL,24,3000,4000,3500
RAHATA,----,QUINTAL,4,4000,5000,4500
KALYAN,HYBRID,QUINTAL,3,2500,3500,3000
KARAD,HYBRID,QUINTAL,33,2000,2500,2500
JALGAON,LOCAL,QUINTAL,9,1500,2500,2000
PUNE,LOCAL,QUINTAL,175,1000,3500,2250
JUNNAR-OTUR,LOCAL,QUINTAL,4,2000,4110,3000
MUMBAI,LOCAL,QUINTAL,924,3500,5500,4500
