APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
LASALGAON,----,QUINTAL,371,3500,5291,5230
LASALGAON-VINCHUR,----,QUINTAL,200,3000,5146,5000
RAHURI-VAMBORI,----,QUINTAL,3,4900,4900,4900
PACHORA,----,QUINTAL,60,4960,5051,4991
SILLOD,----,QUINTAL,4,4700,5000,4800
UDGIR,----,QUINTAL,4550,5150,5206,5178
SHRIGONDA,----,QUINTAL,3,5000,5000,5000
TULJAPUR,----,QUINTAL,60,5000,5050,5025
MALEGAON (Washim),----,QUINTAL,170,4400,4900,4600
RAHATA,----,QUINTAL,16,4825,5046,4950
PIMPALGAON (B)-PALKHED,HYBRID,QUINTAL,138,3926,5276,5150
SOLAPUR,LOCAL,QUINTAL,94,4820,5220,5000
SANGALI,LOCAL,QUINTAL,100,5100,5500,5300
NAGPUR,LOCAL,QUINTAL,2000,8000,8602,8452
LAKHANDUR,LOCAL,QUINTAL,11,4450,4500,4475
LASALGAON-NIPHAD,PANDHARA,QUINTAL,202,4001,5200,5160
JALNA,PIVLA,QUINTAL,1329,4400,5150,5100
AKOLA,PIVLA,QUINTAL,2289,4500,5165,5000
MALEGAON,PIVLA,QUINTAL,62,4500,5099,5051
HINGANGHAT,PIVLA,QUINTAL,2463,4400,5170,4735
PAITHAN,PIVLA,QUINTAL,5,4680,4680,4680
KALAMNURI,PIVLA,QUINTAL,40,5000,5000,5000
UMARED,PIVLA,QUINTAL,1400,4000,5105,5000
WARDHA,PIVLA,QUINTAL,29,4775,5025,4900
BHOKAR,PIVLA,QUINTAL,82,4850,5050,4950
HINGOLI-KANEGAON NAKA,PIVLA,QUINTAL,105,4800,5000,4900
MALKAPUR,PIVLA,QUINTAL,90,4500,5031,4960
VANI,PIVLA,QUINTAL,264,4255,5090,4600
PARTUR,PIVLA,QUINTAL,29,5000,5126,5100
GANGAKHED,PIVLA,QUINTAL,25,5100,5150,5100
DEULGAON RAJA,PIVLA,QUINTAL,32,4500,4900,4900
VARORA,PIVLA,QUINTAL,92,4800,5000,4900
NANDGAON,PIVLA,QUINTAL,6,4915,5027,5001
AMBEJOGAI,PIVLA,QUINTAL,200,4600,5180,5050
KEJ,PIVLA,QUINTAL,179,4800,5100,5000
AHMEDPUR,PIVLA,QUINTAL,1170,4900,5205,5025
CHAKUR,PIVLA,QUINTAL,174,4801,5198,5040
AURAD SHAHAJANI,PIVLA,QUINTAL,139,5071,5175,5123
MUKHED,PIVLA,QUINTAL,12,5200,5300,5240
MURUM,PIVLA,QUINTAL,34,4941,5001,4971
UMARKHED-DANKI,PIVLA,QUINTAL,190,5000,5200,5100
RAJURA,PIVLA,QUINTAL,93,4605,5015,4975
KATOL,PIVLA,QUINTAL,90,4511,5156,4850
ASHTI (Wardha),PIVLA,QUINTAL,88,4800,5100,5000
ASHTI-KARANJA,PIVLA,QUINTAL,117,4600,5100,4825
PULGAON,PIVLA,QUINTAL,30,4905,5020,4950
SINDI,PIVLA,QUINTAL,57,4460,4950,4765
SINDI (SELU),PIVLA,QUINTAL,1050,4900,5200,5100
DEVANI,PIVLA,QUINTAL,56,5105,5250,5177
,,,,,,
