APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,187,500,1500,1000
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,73,1000,1700,1350
RAHURI,----,QUINTAL,35,400,1600,1000
PATAN,----,QUINTAL,15,1500,2000,1750
SHRIRAMPUR,----,QUINTAL,28,800,1500,1150
SATARA,----,QUINTAL,70,1000,1500,1250
MANGALWEDHA,----,QUINTAL,85,300,1100,900
RAHATA,----,QUINTAL,25,500,2000,1200
HINGNA,----,QUINTAL,10,400,600,500
KALYAN,HYBRID,QUINTAL,3,2200,3000,2600
KALMESHWAR,HYBRID,QUINTAL,26,300,500,400
RAMTEK,HYBRID,QUINTAL,58,400,600,500
PUNE,LOCAL,QUINTAL,1455,600,1800,1200
PUNE-KHADKI,LOCAL,QUINTAL,18,900,1300,1100
PUNE-PIMPRI,LOCAL,QUINTAL,24,800,1000,900
JUNNAR (NARAYANGAON),LOCAL,QUINTAL,445,750,1750,1250
NAGPUR,LOCAL,QUINTAL,600,700,1000,900
CHANDVAD,LOCAL,QUINTAL,19,800,2500,1625
VADGAON PETH,LOCAL,QUINTAL,73,1000,1400,1200
VAI,LOCAL,QUINTAL,70,1000,2200,1600
KAMTHI,LOCAL,QUINTAL,71,300,700,500
PANVEL,No. 1,QUINTAL,673,1400,1600,1500
MUMBAI,No. 1,QUINTAL,1559,1200,1800,1500
SOLAPUR,VAISHALI,QUINTAL,123,100,900,500
JALGAON,VAISHALI,QUINTAL,75,500,1000,700
NAGPUR,VAISHALI,QUINTAL,300,1200,1300,1250
KARAD,VAISHALI,QUINTAL,36,1000,1500,1500
BHUSAVAL,VAISHALI,QUINTAL,56,500,500,500
